Coculture_t24h_Donor1_IL-15-1ng-mL	Coculture_t24h_Donor1_IL-15-1nM	Coculture_t24h_Donor1_IL-15-Monalizumab	Coculture_t24h_Donor1_Mabkine	Coculture_t24h_Donor1_Monalizumab	Coculture_t24h_Donor2_IL-15-1ng-mL	Coculture_t24h_Donor2_IL-15-1nM	Coculture_t24h_Donor2_IL-15-Monalizumab	Coculture_t24h_Donor2_Mabkine	Coculture_t24h_Donor2_Monalizumab	Coculture_t24h_Donor3_IL-15-1ng-mL	Coculture_t24h_Donor3_IL-15-1nM	Coculture_t24h_Donor3_IL-15-Monalizumab	Coculture_t24h_Donor3_Mabkine	Coculture_t24h_Donor3_Monalizumab
ACTL8	0	2	0	0	0	1	0	0	0	1	1	0	0	3	1
ACTL9	1	0	2	3	1	0	1	0	0	0	0	3	0	1	2
ACTN1	326.046	413	784.338	1027	56.0306	38	511.128	554.234	834	63.0156	16.009178	130.043	168	310	45.01612
ACTN1-AS1	0	0	1	2	0	1	0	0	0	1	0	1	0	0	0
ACTN2	0	3	1	1	0	1	0	1	1	3	3	1	0	6	0
ACTN3	4	1	1	8	7	16.000001638166	3	5	7	9	8	5.00222	3	18.00004954	16
ACTN4	7269.68	2481.95	4096.17	4982.49	1887.66	2298.13	3700.77	4439.56	5136.75	4227.79	1852.7	3048.18	3306.23	4908.41	2932.37
ACTR10	559.305	211.418	227.803	394.568	148.151	274.449	342.331	222.535	345.908	291.323	212.554	287.978	261.856	306.668	295.827
ACTR1A	3041	1012	1168	2003	709	706	1301	1383	1836	997	616	1150	1218	1743	1066
ACTR1B	2418	482	953	1452	687	744	787	992	1233	1217	598	570	735	924	831
ACTR2	2661	947	911	1450	715	994	1635	1187	1604	1266	956	1500.0013	1393	1555	1571
ACTR3	4851	2949	2795	4137	1894	2141	5624	3597	5585	2656	1866	4439	3997	4381	2616
ACTR3B	48.5534	15.2832	44.6543265601	29.95906	19.49711	6.37073	46.47992	17.567495	22.2323000514544	21	14.2349	15.483476	27.0505	25.4586	9.8488674
ACTR3BP2	2	0	0	1	1	2	2	0	0	0	1	3.79838	1	0	1.58396
ACTR3BP5	3	2	0	0	1	0	1	0	0	0	0	1.20162	1	0	1.41604
ACTR3C	68.775	4.71683	9.34569	17.4198	19.5028	6.62927	5.52005	7.43252	7.88582	11	11.76513	9.66984	4.9495	22.5414	20.1511
ACTR5	296	148	252	340	52	95	178	252	316	139	74	162	137	281	139
ACTR6	265.4848	100.3661	101.84698	160.9656	69.288	95.186	108.8538	80.6208	128.92396	119.4778	103.2783	85.1039	81.0879	121.82087	135.5564
ACTR8	229	176	215	245	115	105	124	135	172	197	123	151	179	233	180
ACTRT1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0
ACTRT2	4	0	0	0	0	1	0	0	1	0	0	1	2	0	0
ACTRT3	0	0	11	0	2	0	13	2	21	7	1	1	10	8	5
ACVR1	46	29	11	22	3	26	22.99997	22	20	17	13	22	17	22	15
ACVR1B	31	23.999975115	36	49	22.999962485	50.00001	109	97	151	68.00001	29	72	41.00000507386	67	51
ACVR1C	4	1	12	13	1	2	2	0	1	2	4	4	0	2	6
ACVR2A	325.189	50.9453	46.0754	82.4645	39.4203	94.0487	19.685	20.5508	40.6296	106.019	59.5099	22.0877	47.9747	43.4198	106.403
ACVR2B	29.0269	21.0499	32.1179	22.062	23.0113	27.1122	16.1424	18.1329	22.058	29.2792	22.161	21.054	25	14.0901	26.0975
ACVR2B-AS1	78.7969	7.6029	22.4324	27.138	14.7266	25.4946	9.55548	21.6884	19.843	17.6568	18.2545	16.6335	10.7827	17.4313	25.5981
ACVRL1	39.4161	4.05827	13.3563	18.4054	10.4773	24.6365	17.1495	10.1573	9.17701	18.1163	16.7482	8.22555	10.0763	10.2181	25.5474
ACY1	489.469	188.00013	329.8314	467.8037	135.17122	122.43644	315.42606	263.841721523	322.4666	172.044	77.5765	180.12289	241.99355	346.1965	124.109
ACY3	0	28	59	20	2	1	15	6	6	2	1	7	9	41	6
ACYP1	268	122	195.0002	308	80	67	169	159.0002	205.0001	88	42	148	155	192.0002	85
ACYP2	83	18	17	39	26	30	28	43	27	46	24	31	15	18	33
ADA	2091	456	833	1354	536	665	1166	1311	1685	1212	363	575	610	873	669
ADAD1	5	0	3.000004369	4	4	2	0	1	0	3	2	1	3.000003772	1	1
ADAD2	2	1	3	0	2	5	6	2	0	2	1	5	1	1	0
ADAL	346.7369	88.4985	168.0757	247.4854	96.6857	119	114.5531	115.6432	124.3128	128.0006	56.2546	95.5531	115.9134	153.5415	114.7468
ADAM10	675	101	84	156	119	158	154	83	132	194	147	149	130	172	238
ADAM11	5	1	6	13	1	2	12	0	0	3	8	7	13	3	7
ADAM12	1	1	1	1	1	6	3	2	1	3	7	1	0	2	6
ADAM15	201.99987	383.00004753343	476.99993	591.000243461108	147.00006111	130.999999552068	409.000600022313	546.9995	498.0005	278.000470725	76.00003153404	215.99971	193.99994100352	309.00003617	139
ADAM17	664.308	170.926	283.37	439.665	166.384	203.281	369.876	387.675	449.567	335.654	224.023	339.541	281.422	408.52	427.001
ADAM18	19.99995	1	1	7	1	4	0	0	2	3	2	2	2	1	2
ADAM19	693	1589	1689	2301	103	198	2895	2891	3381	246	215	1724	1643	2141	371
ADAM1A	54	7	29	86	9	32	47	27	26	32	14	18	15	42	19
ADAM2	10	4	1	0	2	3	1	0	1	4	0	0	2	1	1
ADAM20	3	0	1	2	3	1	0	2	1	4	0	0	1	1	8
ADAM20P1	2	2	0	5	8	1	3	0	0	2	4	0	1	0	2
ADAM21	0	0	0	0	1	0	0	1	0	0	0	3	1	0	1
ADAM21P1	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0
ADAM22	34.999988	12	35.0000358522	68.0000376747	21.999955676	17.0000220131	17.999998158	11.9999896042	17.000031115	21	13.9999972295	13.0000388894	11	22	19.00004
ADAM23	2	1	0	0	0	3	1	0	1	1	0	0	0	0	3
ADAM28	197.9999	36	13	17.99997	32.00004	111	43	30	35.99995	113	329.9995	60	81	70	747
ADAM29	1	1	1	0	0	0	1	0	0	1	0	0	0	0	3
ADAM30	2	0	0	0	1	3	1	1	3	0	1	1	0	1	0
ADAM32	30	4	9	21	7	8	3	5	4	8	10	4	7	2	9
ADAM33	14.5445	3.05265	11.3336	10.2796	6.55584	9.56014	4.11831	6.17726	2.03962	9.41387	9.38446	7.39082	8.1295	8.47168	20.9348
ADAM3A	12.01099	2	8	7	13	5	6	0	4.01113	8	5	3	2	2	8
ADAM5	4	0	4	5	1	4	0	1	4	3	2	1	0	2	1
ADAM6	1	0	2	0	7	1	0	3	0	4	4	1	1	3	10
ADAM7	0	1	3	2	0	1	4	1	0	2	0	1	0	0	2
ADAM8	9277.004	1811.001	2331	3326	2048.9981	2433.001	2401.003	2510.997	3093	3046.004	3746.997	2808.999	2820.999	3694.998	5126
ADAM9	93.000009810538	22.9999736539	24	64	12	21.00003	76	19.9999707	46	25	3	31.0000474	14	40.000000443237	8
ADAMDEC1	0	1	0	2	3	5	1	0	2	3	2	3	2	2	1
ADAMTS1	95	60	62	74	13	16	128	154	242	81	47	170	181	91	28
ADAMTS10	112	10	5	27	35	21	18	13	7	49	36	11	5	14	64
ADAMTS12	5	0	1	4	0	3	1	0	1	1	1	0	0	1	0
ADAMTS13	89.00001	7	20.99999	28	51.0000000210375	109	17	17.00002	19.99998	140	44.0000000256333	23.99998	13	17.00003	117.00001
ADAMTS14	29.99998	13.00002	22.00002	17.00002	7.000001	19.00004	24	8	20.99999	2.999999	6.000004	18.00005	13	22	13
ADAMTS15	0	0	2	1	0	3	2	0	0	5	6	0	2	0	1
ADAMTS16	2	1	5	1	1	1	0	0	1	1	6	5	0	7	4
ADAMTS17	79.7507	4.43048	10.1806	22.2594	23.8639	30.7654	18.0639	27.7825	45.9871	46.8472	56.4466	19.8081	16.1806	12.0086	30.8115
ADAMTS18	12	6	2	10	4	7	3	4	6	1	9	5	0	4	0
ADAMTS19	14	1	4	13	4	3	5	0	0	13	4	4	0	3	13
ADAMTS2	152.875	29.60739	45.00987	52.67041	56.5484	45.73515	47.48818	35.2027	46.69275	72.3605	60.27659	46.2203	38.5891	46.42785	97.27264
ADAMTS20	4	0	2	1	5	3	2	1	0	3	4	2	1	0	3
ADAMTS3	1	2	2	1	2	3	0	1	1	4	4	1	1	2	4
ADAMTS4	228.64	62.9859	76.5073	106.328	46.8355	58.8553	55.7761	54.2642	66.589	78.5028	63.6948	73.3068	58.7152	113.778	92.7377
ADAMTS5	8	1	6	11	4	7	3	2	4	13	3	2	3	8	13
ADAMTS6	11	2	8	10	8	7	2	0	4	4	5	0	7	0	7
ADAMTS7	5	3	12	18.2636	7.45671	10.1587	3.18522	10	19	17	2	3	5.08618	5	10.861
ADAMTS8	8	0	0	2	0	8	1	0	2	12	4	1	1	2	3
ADAMTS9	8	1	0	8	2	4	1	1	1	2	6	2	0	1	2
ADAMTS9-AS2	0	2	1	0	1	0	0	0	0	0	1	0	0	0	0
ADAMTSL1	0	4	2	2	2	2	1	0	3	4	6	1	0	2	2
ADAMTSL2	86.2483	18.1268	16.02632	26.0365	51.5441	24.2668	14.2923	16.6002	23.0064	25.9451	30.9465	22.2766	9.57727	31.9047	51.36991
ADAMTSL3	5	4	0	2	3	5	3	3	1	6	4	0	2	1	8
ADAMTSL4	42.00004	3	6	6	9	27.00002	11	12	9	23.99997	27.99996	13	9.999996	31	25
ADAMTSL5	73.0461	25.6479	27.8664	31.4855	15.0953	18.0619	35.2087	20.6381	27.9036	58.0667	46.6315	36.308	24.1887	45.8429	41.415
ADAP1	731	711	1263	1741	286	405	822	1099	1082	709	471	803	790	1477	692
ADAP2	47.8912	14.09	24.4296	52.5444	24.6084	30.867	18.4321	19.5446	23.5699	27.4547	30.2347	21.6904	18.6862	18.3453	29.7109
ADAR	2945.1172799	1080.114048	1692.57123512127	2032.792188	763.016	1057.281675669	1864.592232	1555.55480223793	1874.22700031758	1214.589394406	932.3871	1654.53824473	1449.85739	1870.767255	1453.84000322494
ADARB1	87.81481	37.00743	60.4784	172.8828	28.682036707	35.21629	100.1276	78.63691	92.47660271259	48.4567000522569	14.818328	29.79325	60.45908	63.066	16.5974
ADARB2	162.554	34.777	45.3678	44.8933	42.8451	73.8194	49.7539	35.9587	63.7938	61.8166	127.676	45.7773	53.9345	65.8941	187.854
ADARB2-AS1	0	1	0	0	0	0	1	0	0	0	2	1	0	0	1
ADAT1	720.097	141.1271	227.697	254.62	139.175	150.214	245.545	120.259	246.983	240.383000064551	138.407	172.089	170.508	229.01	208.192
ADAT2	348.781	86.2384	183.934	177.944	72.0884	94.8139	153.109	101.352	124.769	121.107	95.7163	95.1323	102.486	175.729	150.545
ADAT3	66	19	28.3849	86.1797	16	18	40	19.1896	41.3572	47	17	48	36.4044	88	43
ADC	4	0	1	2	5	2	7	3	3	1	8	2	5	5	10
ADCK1	94	34	36.99995	85	27	24.99995	62	79	60	51.00004	14.99996	25	19.0000453957	57	20
ADCK2	267	117	261	431	90	110	192	225	328	135	84	161	174	290	101
ADCK3	1194	184	371	294	204	241	195	215	439	442	339	178	165	233	562
ADCK4	815	166	265	487	230.0001	190.0003	166.9995	234	344.0002	225.9997	138	185.0003	192.9999	241.0003	248.0001
ADCK5	538	220	362	570	175	224	226	427	382	336	177	225	188	318	233
ADCY1	63.8661	22.5883	24.2274	28.1211	31.5145	24.3205	49.2392	18.5206	19.6218	36.4386	25.9203	33.1672	22.3292	30.9559	27.8542
ADCY10	7	0	0	1	1	0	3	0	1	0	1	7	2	1	4
ADCY10P1	36.9046	4.28724	6.12844	64.7862	12.2397	9.37844	12.3999	2.00958	4.09837	31.016	8.25966	14.1761	7.10336	4.11036	16.308
ADCY2	79.4122	16.4287	25.7881	20.3854	21.4394	17.1352	15.1637	18.3841	22.0493	24.2865	26.4319	20.2567	23.0872	18.1412	39.9095
ADCY3	2087.79	435.202	667.08	1247.66	372.477	621.268	666.936	551.301	933.83	781.191	701.558	597.982	652.949	859.4	1110.88
ADCY4	26.00004	1	10	3.999999	1	5	4	5	12	3	8	4.000002	5	5	22
ADCY5	3	1	4	8	1	9	0	6	7	1	4	2	14.99998	3	17
ADCY6	30.0805	6.47771	11.5026	31.4737	23.4492	16.94183	11.2216	12.4668	22.8784	15.8963	29.7283	17.8756	11.68072	19.8756	19.8917
ADCY7	2140	335	528	639	341	630	676	595	675	643	674	539	595	899	954
ADCY8	4	0	2	2	0	5	0	1	1	4	6	3	0	0	4
ADCY9	35	42	17	33	12	26	37	72	66	69	37	35	20	24	24
ADCYAP1	1	0	0	0	3	1	0	0	0	1	4	3	1	0	2
ADCYAP1R1	20.31821961	5.246721484	5.0910559732	11.14390428916	12.139667386	10.166291343	8.269225991	5.078307244	13.736019382	13.955043166	10.521707253	3.11553401477	5.424849592	8.09752729198	8.622101291
ADD1	3015.9959	738.0003	1188.9998	2045.00252	777.99964	955.9996	1086.99957	1157.99992	1278.002	1207.0001	982	1117.99955	990.0003	1379.99736	1503.0022
ADD2	2	0	2	3	2	7	4	1	0	1	8.000001	4	0	2	1
ADD3	1004.8204	145	115.8223346	265.0003	234.8134	302	135.9995	125.9998	126.9995	389.0003	409.9999596604	195.3134	212.4975	223.9995	589.639400042916
ADGB	12	0	0	4	6	2	4	0	0	1	0	1	1	0	5
ADH1A	0	1	0	0	0	1	1	0	0	1	0	0	0	0	3
ADH1B	1	0	0	4	0	0	0	0	0	1	1	0	1	0	2
ADH1C	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1
ADH4	176.089	25.8416	54.4374	55.9292	36.8495	76.1118	53.1138	35.5629	27.8191	74.3787	51.171	41.2169	32.7874	43.4254	89.8148
ADH5	1130	394	440	885	364	370	510	558	670	377	369	488	502	660	554
ADH6	5	2	2	3	2	5	0	0	0	1	2	0	0	3	0
ADH7	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0
ADHFE1	83	7	2	13	13	30	16	4	15	37	61	13	16	27	102
ADI1	837	252	378	750	214	314	650	585	836	460	208	452	470	616	296
ADIG	0	1	0	0	3	0	0	0	0	2	0	1	0	0	0
ADIPOQ	132.856	15.613184919	40.53780296036	54.0356603419	31.7987	26.6431	18.83821192	36.9715	40.059098497	47.706065529	38.1893	36.044500113274	34.0333	47.925813541	64.7245
ADIPOQ-AS1	89.2652	27.0309	27.8655	57.6086	18.4834	37.6383	36.056	24.3507	27.777	31.4609	36.3027	33.7275	30.8749	40.9233	30.3525
ADIPOR1	1338	805	732	1209	410	300	959	761	1108.9979	435	378.0001	773.9995	682.0002	977	576
ADIPOR2	599	137	278	390	98	138	184	147	223	121	114	214	163	298	210
ADIRF	5	3	0	0	2	1	3	2	0	7	1.56726	0	2	0	1
ADK	280.0003	210	239.0001	455	172	105	217.00001	223.00004	255.9997	175.0002	83.99997	166.9997	168.0003	189.999555	113
ADM	1	0	1	0	0	0	1	0	1	3	2	0	0	3	1
ADM2	77.3746	20.76219	84.4484	113.721	44.6445	36.8658	67.9904	58.3956	97.5043	60.8416	39.4032	79.0011	70.3299	124.8888	59.2085
ADM5	29	26	17	34	5	7	15	8	35	24	1	10	28	44	6
ADNP	403.00000737179	156.99989	154	288	121	165.000427	176	160.0002	239.9997	185.9999	121.999938	154	186.99958	180.99989	178.0004
ADNP2	457	104	157	290	102	121	176	243	248	238	105	149	185	242	140
ADO	632	225	314	683	317	282	427	357	540	666	86	195	201	264	142
ADORA1	1	0	0	4	0	2	1	0	0	7	2	1	2	2	1
ADORA2A	201.612	135.827	118.681	316.233	32.4679	29.9621	98.6901	80.2883	135.516	71.8507	61	103.225	107.224	133.584	170.552
ADORA2A-AS1	31.59758	9.36226	16.84384	20.36904	14.06343	23.54127	12.62866	14.02491	8.75595	9.45639	18.61385	19.26764	11.18966	10.85047	22.62013
ADORA2B	31.5603	21.4238	19.2445	29.0039	30.5806	7.91596	21.0972	28.3344	40.7958	27.1016	22.1625	32.4862	15.7301	41.7986	20.7782
ADORA3	1	0	3	15	0	2	2	0	0	0	3	1	0	1	2
ADPGK	774.402	343.15	507.5167	768.3297	201.6794	287.1948	492.515	474.8306	524.0515	347.5684	293.9398	426.369	392.6253	458.4136	391.1005
ADPGK-AS1	18.5967	4.85087	9.48353	18.6706	7.32064	4.80544	13.4849	11.1692	6.94847	9.43166	10.0759	8.63073	2.37418	11.5867	13.8997
ADPRH	946	165	139	336	257	242	262	194	321	358	245	189	247	263	371
ADPRHL1	2	4	2	3	3	3	4	4	1	4	2	1	3	1	1
ADPRHL2	758	402	801	1213	227	294	725	827	1002	392	211	558	528	890	232
ADPRM	164	34	19	52	12	27	19	26	33	31	32	19	40	20	37
ADRA1A	22.8482	10.62557	9.16442	8.07363	11.4226	0	4.89946	4.46061	7.44022	18.7565	11.8184	8.23515	6.41103	14.4843	10.6193
ADRA1B	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0
ADRA1D	1	0	2	1	2	0	2	0	0	5	3	1	1	1	1
ADRA2A	2	0	5	2	4	0	5	3	2	2	1	2	1	1	7
ADRA2B	7	2	5	4	1	7	1	2	6	2	6	3	3	5	5
ADRA2C	1	1	4	1	0	3	1	0	1	1	0	3	2	1	1
ADRB1	11.5958	3.20437	2	10	6	6.49515	5.75012	1	3	8.75244	11	7	11.3538	15	30.3515
ADRB2	186	13	17	51	22	68	37	40	49	31	89	53	46	37	116
ADRB3	23.2469	7.39572	5.16091	13.9699	4.89382	9.22677	5.92612	2.63847	1.07174	1.0506	3.80831	8.24769	5.69303	4.51378	12.5469
ADRBK1	7124	2519	3728	5087	1996	2469	3683	4034	4077	3780	3974	4183	3528	5432	5350
ADRBK2	282.361	113.808	209.038	241.527	58.1015	74.2123	148.606	103.632	179.829	96.5093	93.5569	108.207	81.9135	163.442	130.813
ADRM1	5637.002	3940	4459.004	8549	1639.0015	1350.001	4621.003	5486.001	6359.996	2004	1073.9999	3284.999	3776.996	5473.002	1619.996
ADSL	1358.9999	830.0003	1343.0015	2225.9951	536.9997	355.99967	1186.9995	1118.9975	1514.9967	732.9999	313.9999	788.9996	974.9999	1261.0022	484.9999
ADSS	1256	485	577	921	272	358	638	559	749	474	246	489	507	653	358
ADSSL1	10	2	4	1	10	11	16	0	10	12	15	13	8	6	9
ADTRP	0	0	4	7	2	1	0	0	0	0	1	0	1	1	0
AEBP1	8	4	9	6	5	1	5	4	6	1	1	5	1	7	13
AEBP2	389.1532	172.2236	168	251.3418	76.1158	121.9999	171.22528	173.0002	193.1947	132	81	134.0002	121.00039	159.00042	112
AEN	638	368	621	971	90	161	477	541	892	208	128	429	462	582	132
AES	3992.003	1084.0001	1712	2014.9971	984.9996	1109.9983	1086	1255.9999	1334.9975	1670.999	1587.9953	1607.0036	1587.9992	2294.9969	2290.0017
AFAP1	13.1048	3	5	12	24	33	26.9278	39.4465	46	41	25	12	11	7	42.26240226485
AFAP1-AS1	100.933	14	44	57	24	41	28.0722	22.5969	34	47	39	27.0622	26	56.0943	50.7376
AFAP1L1	23.0437	4.0086	5.0009	14.0003	5.01862	5.00028	9.02994	2.00012	7.00069	19.0008	6.01636	8.00031	6.00023	4.00046	11.0051
AFAP1L2	3450	1882.001	1864.999	3346.001	930	1119	2430.002	2188.995	2941.998	2126.999	693	1745.996	2066.997	2898.002	1029
AFF1	412.5317	87.9207	155.5985	179.4487	91.6195	99.3904	144.0629	107.9553	164.7964	155.8542	161.2176	117.8417	134.6403	172.3452	227.0238
AFF2	52	4	8	10	5	13.999999606	6	3	8	13	4	4	2	10	21
AFF3	426.9056	52.69202	112.178222336	126.16132	129.0743	185.4889	109.062	103.0552	114.539	244.6147	159.727	112.6238095	110.37361	183.6019	266.5942
AFF4	425	92	128	226	73	113	121	155	182	178	193	132	120	166	238
AFG3L1P	588.0242	204.9484	173.6302	443.9111	79.5582	77.4613	214.1775	222.9067	252.1199	170.6067	87.53828	138.0409	162.3087	216.8166	147.7397
AFG3L2	774	542	819	1064	294	210	731	676	828	362	230	592	719	868	321
AFM	2	0	1	2	0	1	2	0	1	2	1	0	0	0	0
AFMID	255.2976	94.2837	126.2682	244.5917	112.0086	117.545000070497	143.0531472	131.8204824	159.72416502972	149.7726	121.897000868912	109.11438758	132.2124	141.67066328	169.5531
AFP	3	2	1	0	1	0	0	0	5	1	4	0	0	0	2
AFTPH	609.9992	180.9999	253.0003	446	213	203	182.9996	213	219.9998	303.0004	186.0004	146.99954	158.0001	271	275
AGA	277	44	82	84	66	54	81	74	132.99986	100	64	86	77	107	95
AGAP1	10.000000550666	4.00482138517	6.00479	12.000000184863	3.999997611759	9	15.00000210969	5.00000166389	5.000000549196	10.99999152745	11.00000326812	7.000000442838	5.000004741238	16.99995	13.00000292733
AGAP11	7.44978	0	2.36571	2.49916	1.2746	6.71166	4.88233	1.19434	1.28092	1.13557	6.64827	1.20059	5.85451	3.80433	6.29595
AGAP2	633	221.99999	282.99997	348.355	190.45906	205.7796	313.691	339.867	376.787	326.8396	243.8019	295.3465	253.80145	422.556	414.564
AGAP3	872.9996	348.0003	446.0002	733.0002	313.9995	220.00009	362.00043	379.00047	344.00035	417.99954	211.99955	227	207.99994	258.9999	237.00013
AGAP4	300.06	49.8682	70.4394	58.7176	44.5924	45.6007	50.762	35.3345	30.6736	29.9267	75.0088	43.1086	47.1862	72.8472	97.9193
AGAP5	141.462	43.6942	42.223	106.623	33.9258	55.5803	49.7455	45.902	67.4126	61.8962	33.1042	44.4459	56.7801	53.5658	65.8518
AGAP6	323.905	138.282	203.759	266.07	95.8738	108.062	152.866	166.491	166.71	139.312	69.555	141.426	115.103	219.011	145.577
AGAP7	16.5888	6.04611	8.53607	9.81465	0	6.35111	14.0892	0	0	0	4.22456	4.82657	0	20.8689	0
AGAP8	61.7725770858	4.06601	9.48442	19.8271	0	59.2336	36.6770759957	33.926877046	72.4058	45.040425	15.47096	8.47329	10.55848	11.623	30.1010314642
AGAP9	133.861	9.03853	60.6991	41.4586000853875	14.3334	26.6329748	38.4297	49.5126	65.8067	96.67210562705	34.4209	46.9093	37.7198	64.6392	81.4111
AGBL1	5	0	2	0	0	1	1	0	0	1	3	0	0	3	3
AGBL2	34	8	10	48	10.1204	13	9	3	9	38	18.148	9.11122	20	15.3858	15.0995
AGBL3	21	2	6	18	8	6	4	4	3	1	5	5	8	10	11
AGBL4	11.6632	1.07492	7	10.741	0	2.07093	2.01537	0	1.01212	2.18682	3.02596	1.24428	3.27365	1.00116	4.60499
AGBL5	214.3718	58.1031	67.1235	128.1914	126.1845	52.0182	82.0937	94.069	94.1593	105.0611	45.0556	52.0632	94.0857	111.1793	108.1212
AGER	361.0001	48.00002	91	138.0001	76.000029102	73.99992	48.999974	51	74	86	81.000022631	43	23.00004	63.00006	135.0000927
AGFG1	502.999500031763	264.9997	302.9997	605.999982	142.9997	163.776	256.0004	198.0004	266.9995	207	78.1887	117	143	154.0005	113.2012
AGFG2	1026	285	401	678	254	455	419	380	481	492	263	294	222	486	298
AGGF1	970	309	311	612	250	254	437	420	657	410	247	351	422	501	423
AGK	1092	363	462	922	325	310	546	419	740	385	174	327	311	527	321
AGL	273.0004	67	104.00002	136.0003	48.00001	75	91.00001	68.99998	116.00003	121	57.00008	89.00002	54.99999	97	81
AGMAT	321.183	135.21	236.272	297.145	155.964	141.747	267.032	226.32	242.237	164.242	108.307	185.436	149.528	244.77	175.818
AGMO	42.4225	10.3495	13.6144	14.6928	9.93425	12.8099	11.7692	14.614	19.5013	10.2098	16.6662	9.88123	7.15971	10.2852	20.3229
AGO1	990	376	607	662	277	305	587	569	491	487	385	552	458	745	561
AGO2	907.9999	225.9995	389	751.9996	247	325	305.9998	387.9998	456	430	296	314.9996	313.9997	535	526
AGO3	327	75.99996	80.99998	146.0004	57	50.99999	85	101	141.99966	104.00021	95.00001	65.00005	79	117.9996	120.99981
AGO4	472.341	26.5707	40.5656	80.6036	80.3194	146.349	75.5888	73.351	87.5434	169.751	175.427	107.249	76.551	122.677	366.843
AGPAT1	948	272.0003	378.0003	672	227.99968	273	374	448	529.958	379	222.9998	359	313	524	493
AGPAT2	622.0003	281	486	623.0004	178	249.0005	403.9998	526	660.9995	439.0004	239.0004	367.0001	408.0002	676	421.0001
AGPAT3	652	237.0003	392	496.000000070041	166	117.000000131085	286	305.9996	372	172.0002	162	378.0002	390	516	272.0001
AGPAT4	478	48	60	123	137	134	106	141	102	204	262	103	103	182	379
AGPAT4-IT1	114.144	14.345	15.4857	27.5476	47.6118	53.5757	43.7383	29.4829	58.4576	111.65	64.6165	28.6085	31.4171	30.199	156.616
AGPAT5	672	222	277	399	139	145	254	179	285	249	66	138	206	218	162
AGPAT6	1662.36	540.139	829.202	1035.74	501.108	460.34	743.588	746.438	912.752	806.538	497.39	811.736	918.574	877.373	715.439
AGPAT9	44.99998	58	115	229.0005	11	10	210.0003	243.9998	290.0002	33	10	100	124.00026	133	2.999995
AGPHD1	0	0	4	0	0	0	1	4	1	0	2	0	1	0	0
AGPS	139	100	104.93	287	81	68	167	155	159	120	54	115	99	155	86
AGR2	5	0	0	0	0	4	3	0	1	1	1	0	0	0	0
AGR3	2	0	1	2	3	0	0	0	0	0	1	0	0	0	0
AGRN	115	80	149	146	62	54	96	70	84	99	29	42	24	65	27
AGRP	24	1	4	4	5	3	3	9	8	1	4	13	11	9	0
AGSK1	0	1.218177	1.1735680195268	0	0	1.107629	0	4.09723485	1.242132	0	0	1.337061684566	0	0	1.09838910136
AGT	1	0	0	1	0	2	0	0	0	0	13	2	2	1	3
AGTPBP1	255	47	76	77	67	58	60	112	80	103	146	130	95	138	281
AGTR1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
AGTR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AGTRAP	704.9997	339.00034	444.00016	573.9998	102.00003	217	877.0002	795.0006	877.00040378	245.99982	379.00035	823.0003	825.00028	1017.0005	531.9999
AGXT	0	2	1	1	5	3	2	0	1	0	0	2	0	0	1
AGXT2	8	0	0	1	0	1	0	0	0	1	2	2	0	1	3
AGXT2L1	1.0000003221	0.99999996886	2	0	0.99999983876	0	0	0	0	0	5.0000027306	1.00000041403	0	0	0
AGXT2L2	1342	120	234	336	255	457	338	246	324	476	573	288	263	312	1142
AHCTF1	483.307	168.682	187.794	273.31	103	57.0805	157.57	161	240	128.607	85.6319	121.09	176.654	251.559	116.449
AHCTF1P1	2.69255	1.31802	1.20558	3.68956	0	5.91951	2.43027	0	0	2.39251	2.36811	5.90977	2.34558	2.44119	4.55142
AHCY	1302	1410.9951	2032.9972	3285.0008	558.99989	461.0001	1762	1909.0038	2718.9951	813.99969	186	1239.9951	1219.9953	1570.99597	360
AHCYL1	641.000425	276	538.9997	808.9997	178.999979	199.9998	415.00013	471.0004	525.9995	203.999505	139.999997	265.9997	309.0002	350.9998	235.0004
AHCYL2	255.7284	35.6919	48.3798	74.3532	48.3803	69.5424	43.4712300746058	36.6127	43.0946	75.00676	44.2999	47.2597	31.2947	64.4024	67.8078015979
AHDC1	335	291	435	525	213	213	409	387	442	337	135	291	221	315	164
AHI1	2586.29149	618.1286	1024.61424	1590.123	957.102	633.674	586.086	634.2757	803.258	1086.857	268.918	328.1213	409.846	681.23	622.248
AHNAK	5504.997	640.0004	870.0001	1559.0039	1099.9959	1137.997	636.9998	591.9998	835.9996	1458.9968	1888.9991	512.9995	551.9998	841.0001	2599.996
AHNAK2	20	0	7	13	4	1	7	4	9	13	14	14	7	16	14
AHR	311.586	128.689	97.1818	168.154	49.9234	109.517	155.566	128.412	192.996	153.042	85.1463	106.211	98.5626	163.137	119.514
AHRR	200.87169846	72.376953	116.778000071685	171.0318509	56.88419277	61.2479	142.846	93.256	238.48109	116.324	46.178	87.14174355	77.47872598	102.14046464	32.46629615
